run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
2,1,10,2.5,1.0,22,0.08,-0.03,200,0.08,-0.03,1
2,2,10,2.5,1.0,22,0.08,-0.032,200,0.08,-0.031,2
2,3,10,2.5,1.0,22,0.084,-0.034,200,0.0813333333333,-0.032,3
2,4,10,2.5,1.0,22,0.076,-0.032,200,0.08,-0.032,4
2,5,10,2.5,1.0,22,0.076,-0.03,200,0.0792,-0.0316,5
2,6,10,2.5,1.0,22,0.076,-0.03,200,0.0786666666667,-0.0313333333333,6
2,7,10,2.5,1.0,22,0.076,-0.028,200,0.0782857142857,-0.0308571428571,7
2,8,10,2.5,1.0,22,0.076,-0.026,200,0.078,-0.03025,8
2,9,10,2.5,1.0,22,0.076,-0.026,200,0.0777777777778,-0.0297777777778,9
2,10,10,2.5,1.0,22,0.072,-0.028,200,0.0772,-0.0296,10
2,11,10,2.5,1.0,22,0.072,-0.03,200,0.0767272727273,-0.0296363636364,11
2,12,10,2.5,1.0,22,0.072,-0.028,200,0.0763333333333,-0.0295,12
2,13,10,2.5,1.0,22,0.068,-0.03,200,0.0756923076923,-0.0295384615385,13
2,14,10,2.5,1.0,22,0.068,-0.028,200,0.0751428571429,-0.0294285714286,14
2,15,10,2.5,1.0,22,0.068,-0.03,200,0.0746666666667,-0.0294666666667,15
2,16,10,2.5,1.0,22,0.068,-0.03,200,0.07425,-0.0295,16
2,17,10,2.5,1.0,22,0.056,-0.032,200,0.0731764705882,-0.0296470588235,17
2,18,10,2.5,1.0,22,0.056,-0.032,200,0.0722222222222,-0.0297777777778,18
2,19,10,2.5,1.0,22,0.056,-0.034,200,0.0713684210526,-0.03,19
2,20,10,2.5,1.0,22,0.056,-0.034,200,0.0706,-0.0302,20
2,21,10,2.5,1.0,22,0.056,-0.036,200,0.0699047619048,-0.0304761904762,21
2,22,10,2.5,1.0,22,0.052,-0.034,200,0.0690909090909,-0.0306363636364,22
2,23,10,2.5,1.0,22,0.052,-0.036,200,0.068347826087,-0.0308695652174,23
2,24,10,2.5,1.0,22,0.056,-0.038,200,0.0678333333333,-0.0311666666667,24
2,25,10,2.5,1.0,22,0.056,-0.038,200,0.06736,-0.03144,25
2,26,10,2.5,1.0,22,0.056,-0.036,200,0.0669230769231,-0.0316153846154,26
2,27,10,2.5,1.0,22,0.052,-0.038,200,0.0663703703704,-0.0318518518519,27
2,28,10,2.5,1.0,22,0.052,-0.036,200,0.0658571428571,-0.032,28
2,29,10,2.5,1.0,22,0.048,-0.034,200,0.0652413793103,-0.0320689655172,29
2,30,10,2.5,1.0,22,0.048,-0.036,200,0.0646666666667,-0.0322,30
2,31,10,2.5,1.0,22,0.048,-0.036,200,0.0641290322581,-0.0323225806452,31
2,32,10,2.5,1.0,22,0.044,-0.038,200,0.0635,-0.0325,32
2,33,10,2.5,1.0,22,0.044,-0.038,200,0.0629090909091,-0.0326666666667,33
2,34,10,2.5,1.0,22,0.036,-0.036,200,0.0621176470588,-0.0327647058824,34
2,35,10,2.5,1.0,22,0.036,-0.038,200,0.0613714285714,-0.0329142857143,35
2,36,10,2.5,1.0,22,0.032,-0.036,200,0.0605555555556,-0.033,36
2,37,10,2.5,1.0,22,0.024,-0.038,200,0.0595675675676,-0.0331351351351,37
2,38,10,2.5,1.0,22,0.02,-0.04,200,0.0585263157895,-0.0333157894737,38
2,39,10,2.5,1.0,22,0.02,-0.04,200,0.0575384615385,-0.0334871794872,39
2,40,10,2.5,1.0,22,0.012,-0.038,200,0.0564,-0.0336,40
2,41,10,2.5,1.0,22,0.008,-0.036,200,0.0552195121951,-0.0336585365854,41
2,42,10,2.5,1.0,22,0.004,-0.034,200,0.054,-0.0336666666667,42
2,43,10,2.5,1.0,22,0.004,-0.032,200,0.0528372093023,-0.0336279069767,43
2,44,10,2.5,1.0,22,0.004,-0.032,200,0.0517272727273,-0.0335909090909,44
2,45,10,2.5,1.0,22,-0.004,-0.034,200,0.0504888888889,-0.0336,45
2,46,10,2.5,1.0,22,-0.012,-0.032,200,0.0491304347826,-0.0335652173913,46
