run,step,side,T,J,seed,e_per_spin,m_per_spin,e_cum_avg,m_cum_avg,samples
6,72,10,6.5,1.0,66,-0.08,-0.038,-0.0360555555556,-0.032,72
6,73,10,6.5,1.0,66,-0.084,-0.04,-0.0367123287671,-0.0321095890411,73
6,74,10,6.5,1.0,66,-0.084,-0.038,-0.0373513513514,-0.0321891891892,74
6,75,10,6.5,1.0,66,-0.088,-0.04,-0.0380266666667,-0.0322933333333,75
6,76,10,6.5,1.0,66,-0.096,-0.042,-0.0387894736842,-0.0324210526316,76
6,77,10,6.5,1.0,66,-0.096,-0.042,-0.0395324675325,-0.0325454545455,77
6,78,10,6.5,1.0,66,-0.096,-0.042,-0.0402564102564,-0.0326666666667,78
6,79,10,6.5,1.0,66,-0.096,-0.042,-0.0409620253165,-0.0327848101266,79
6,80,10,6.5,1.0,66,-0.092,-0.04,-0.0416,-0.032875,80
6,81,10,6.5,1.0,66,-0.092,-0.04,-0.0422222222222,-0.032962962963,81
6,82,10,6.5,1.0,66,-0.088,-0.038,-0.0427804878049,-0.0330243902439,82
6,83,10,6.5,1.0,66,-0.08,-0.036,-0.0432289156627,-0.0330602409639,83
6,84,10,6.5,1.0,66,-0.08,-0.038,-0.0436666666667,-0.033119047619,84
6,85,10,6.5,1.0,66,-0.084,-0.036,-0.0441411764706,-0.0331529411765,85
6,86,10,6.5,1.0,66,-0.084,-0.036,-0.0446046511628,-0.0331860465116,86
6,87,10,6.5,1.0,66,-0.088,-0.038,-0.0451034482759,-0.0332413793103,87
6,88,10,6.5,1.0,66,-0.084,-0.04,-0.0455454545455,-0.0333181818182,88
6,89,10,6.5,1.0,66,-0.084,-0.042,-0.0459775280899,-0.0334157303371,89
6,90,10,6.5,1.0,66,-0.084,-0.042,-0.0464,-0.0335111111111,90
6,91,10,6.5,1.0,66,-0.092,-0.044,-0.0469010989011,-0.0336263736264,91
6,92,10,6.5,1.0,66,-0.096,-0.046,-0.0474347826087,-0.0337608695652,92
6,93,10,6.5,1.0,66,-0.096,-0.046,-0.0479569892473,-0.0338924731183,93
6,94,10,6.5,1.0,66,-0.096,-0.044,-0.0484680851064,-0.034,94
6,95,10,6.5,1.0,66,-0.096,-0.044,-0.0489684210526,-0.0341052631579,95
6,96,10,6.5,1.0,66,-0.096,-0.046,-0.0494583333333,-0.0342291666667,96
6,97,10,6.5,1.0,66,-0.092,-0.044,-0.0498969072165,-0.0343298969072,97
6,98,10,6.5,1.0,66,-0.092,-0.044,-0.0503265306122,-0.0344285714286,98
6,99,10,6.5,1.0,66,-0.092,-0.044,-0.0507474747475,-0.0345252525253,99
6,100,10,6.5,1.0,66,-0.092,-0.044,-0.05116,-0.03462,100
6,101,10,6.5,1.0,66,-0.096,-0.046,-0.051603960396,-0.0347326732673,101
6,102,10,6.5,1.0,66,-0.1,-0.048,-0.0520784313725,-0.034862745098,102
6,103,10,6.5,1.0,66,-0.092,-0.05,-0.0524660194175,-0.0350097087379,103
6,104,10,6.5,1.0,66,-0.092,-0.048,-0.0528461538462,-0.0351346153846,104
6,105,10,6.5,1.0,66,-0.092,-0.048,-0.053219047619,-0.0352571428571,105
6,106,10,6.5,1.0,66,-0.092,-0.05,-0.0535849056604,-0.0353962264151,106
6,107,10,6.5,1.0,66,-0.1,-0.048,-0.0540186915888,-0.0355140186916,107
6,108,10,6.5,1.0,66,-0.096,-0.046,-0.0544074074074,-0.0356111111111,108
6,109,10,6.5,1.0,66,-0.092,-0.044,-0.054752293578,-0.0356880733945,109
6,110,10,6.5,1.0,66,-0.092,-0.046,-0.0550909090909,-0.0357818181818,110
6,111,10,6.5,1.0,66,-0.096,-0.044,-0.0554594594595,-0.0358558558559,111
6,112,10,6.5,1.0,66,-0.1,-0.042,-0.0558571428571,-0.0359107142857,112
6,113,10,6.5,1.0,66,-0.1,-0.04,-0.0562477876106,-0.0359469026549,113
6,114,10,6.5,1.0,66,-0.108,-0.042,-0.056701754386,-0.036,114
6,115,10,6.5,1.0,66,-0.112,-0.044,-0.0571826086957,-0.0360695652174,115
