run,step,side,T,J,seed,e_per_spin,m_per_spin,e_cum_avg,m_cum_avg,samples
4,1,10,4.5,1.0,44,-0.076,-0.036,-0.076,-0.036,1
4,2,10,4.5,1.0,44,-0.076,-0.038,-0.076,-0.037,2
4,3,10,4.5,1.0,44,-0.076,-0.038,-0.076,-0.0373333333333,3
4,4,10,4.5,1.0,44,-0.08,-0.036,-0.077,-0.037,4
4,5,10,4.5,1.0,44,-0.08,-0.036,-0.0776,-0.0368,5
4,6,10,4.5,1.0,44,-0.08,-0.038,-0.078,-0.037,6
4,7,10,4.5,1.0,44,-0.088,-0.04,-0.0794285714286,-0.0374285714286,7
4,8,10,4.5,1.0,44,-0.088,-0.042,-0.0805,-0.038,8
4,9,10,4.5,1.0,44,-0.084,-0.044,-0.0808888888889,-0.0386666666667,9
4,10,10,4.5,1.0,44,-0.088,-0.046,-0.0816,-0.0394,10
4,11,10,4.5,1.0,44,-0.08,-0.044,-0.0814545454545,-0.0398181818182,11
4,12,10,4.5,1.0,44,-0.084,-0.046,-0.0816666666667,-0.0403333333333,12
4,13,10,4.5,1.0,44,-0.088,-0.048,-0.0821538461538,-0.0409230769231,13
4,14,10,4.5,1.0,44,-0.08,-0.046,-0.082,-0.0412857142857,14
4,15,10,4.5,1.0,44,-0.088,-0.048,-0.0824,-0.0417333333333,15
4,16,10,4.5,1.0,44,-0.096,-0.046,-0.08325,-0.042,16
4,17,10,4.5,1.0,44,-0.1,-0.044,-0.0842352941176,-0.0421176470588,17
4,18,10,4.5,1.0,44,-0.1,-0.044,-0.0851111111111,-0.0422222222222,18
4,19,10,4.5,1.0,44,-0.1,-0.044,-0.0858947368421,-0.0423157894737,19
4,20,10,4.5,1.0,44,-0.1,-0.046,-0.0866,-0.0425,20
4,21,10,4.5,1.0,44,-0.1,-0.044,-0.0872380952381,-0.0425714285714,21
4,22,10,4.5,1.0,44,-0.1,-0.046,-0.0878181818182,-0.0427272727273,22
4,23,10,4.5,1.0,44,-0.096,-0.048,-0.0881739130435,-0.0429565217391,23
4,24,10,4.5,1.0,44,-0.1,-0.05,-0.0886666666667,-0.04325,24
4,25,10,4.5,1.0,44,-0.104,-0.052,-0.08928,-0.0436,25
4,26,10,4.5,1.0,44,-0.104,-0.052,-0.0898461538462,-0.0439230769231,26
4,27,10,4.5,1.0,44,-0.1,-0.05,-0.0902222222222,-0.0441481481481,27
4,28,10,4.5,1.0,44,-0.112,-0.048,-0.091,-0.0442857142857,28
4,29,10,4.5,1.0,44,-0.112,-0.05,-0.091724137931,-0.0444827586207,29
4,30,10,4.5,1.0,44,-0.116,-0.052,-0.0925333333333,-0.0447333333333,30
4,31,10,4.5,1.0,44,-0.116,-0.052,-0.0932903225806,-0.0449677419355,31
4,32,10,4.5,1.0,44,-0.116,-0.054,-0.094,-0.04525,32
4,33,10,4.5,1.0,44,-0.124,-0.056,-0.0949090909091,-0.0455757575758,33
4,34,10,4.5,1.0,44,-0.128,-0.058,-0.0958823529412,-0.0459411764706,34
4,35,10,4.5,1.0,44,-0.136,-0.06,-0.0970285714286,-0.0463428571429,35
4,36,10,4.5,1.0,44,-0.14,-0.062,-0.0982222222222,-0.0467777777778,36
4,37,10,4.5,1.0,44,-0.144,-0.06,-0.0994594594595,-0.0471351351351,37
4,38,10,4.5,1.0,44,-0.156,-0.062,-0.100947368421,-0.0475263157895,38
4,39,10,4.5,1.0,44,-0.152,-0.06,-0.102256410256,-0.0478461538462,39
4,40,10,4.5,1.0,44,-0.152,-0.062,-0.1035,-0.0482,40
4,41,10,4.5,1.0,44,-0.148,-0.064,-0.104585365854,-0.0485853658537,41
4,42,10,4.5,1.0,44,-0.144,-0.066,-0.105523809524,-0.049,42
4,43,10,4.5,1.0,44,-0.152,-0.064,-0.106604651163,-0.0493488372093,43
4,44,10,4.5,1.0,44,-0.156,-0.066,-0.107727272727,-0.0497272727273,44
4,45,10,4.5,1.0,44,-0.164,-0.064,-0.108977777778,-0.0500444444444,45
4,46,10,4.5,1.0,44,-0.164,-0.062,-0.110173913043,-0.0503043478261,46
4,47,10,4.5,1.0,44,-0.172,-0.064,-0.111489361702,-0.0505957446809,47
4,48,10,4.5,1.0,44,-0.172,-0.064,-0.11275,-0.050875,48
4,49,10,4.5,1.0,44,-0.176,-0.062,-0.114040816327,-0.0511020408163,49
4,50,10,4.5,1.0,44,-0.172,-0.06,-0.1152,-0.05128,50
4,51,10,4.5,1.0,44,-0.172,-0.058,-0.11631372549,-0.0514117647059,51
4,52,10,4.5,1.0,44,-0.168,-0.06,-0.117307692308,-0.0515769230769,52
4,53,10,4.5,1.0,44,-0.172,-0.058,-0.118339622642,-0.0516981132075,53
4,54,10,4.5,1.0,44,-0.168,-0.06,-0.119259259259,-0.0518518518519,54
4,55,10,4.5,1.0,44,-0.168,-0.06,-0.120145454545,-0.052,55
4,56,10,4.5,1.0,44,-0.164,-0.062,-0.120928571429,-0.0521785714286,56
4,57,10,4.5,1.0,44,-0.16,-0.064,-0.121614035088,-0.0523859649123,57
