run,step,side,T,J,seed,e_per_spin,m_per_spin
6,1,10,6.5,1.0,66,0.0,-0.036
6,2,10,6.5,1.0,66,-0.008,-0.034
6,3,10,6.5,1.0,66,-0.012,-0.036
6,4,10,6.5,1.0,66,-0.012,-0.036
6,5,10,6.5,1.0,66,-0.012,-0.038
6,6,10,6.5,1.0,66,-0.02,-0.04
6,7,10,6.5,1.0,66,-0.02,-0.038
6,8,10,6.5,1.0,66,-0.016,-0.036
6,9,10,6.5,1.0,66,-0.008,-0.038
6,10,10,6.5,1.0,66,0.0,-0.04
6,11,10,6.5,1.0,66,0.004,-0.038
6,12,10,6.5,1.0,66,0.0,-0.036
6,13,10,6.5,1.0,66,0.0,-0.036
6,14,10,6.5,1.0,66,-0.004,-0.034
6,15,10,6.5,1.0,66,-0.008,-0.036
6,16,10,6.5,1.0,66,-0.008,-0.036
6,17,10,6.5,1.0,66,-0.008,-0.036
6,18,10,6.5,1.0,66,-0.016,-0.038
6,19,10,6.5,1.0,66,-0.02,-0.04
6,20,10,6.5,1.0,66,-0.02,-0.04
6,21,10,6.5,1.0,66,-0.02,-0.038
6,22,10,6.5,1.0,66,-0.02,-0.036
6,23,10,6.5,1.0,66,-0.024,-0.034
6,24,10,6.5,1.0,66,-0.024,-0.034
6,25,10,6.5,1.0,66,-0.02,-0.032
6,26,10,6.5,1.0,66,-0.024,-0.03
6,27,10,6.5,1.0,66,-0.024,-0.028
6,28,10,6.5,1.0,66,-0.024,-0.028
6,29,10,6.5,1.0,66,-0.024,-0.028
6,30,10,6.5,1.0,66,-0.024,-0.026
6,31,10,6.5,1.0,66,-0.02,-0.024
6,32,10,6.5,1.0,66,-0.02,-0.022
6,33,10,6.5,1.0,66,-0.02,-0.024
6,34,10,6.5,1.0,66,-0.024,-0.026
6,35,10,6.5,1.0,66,-0.032,-0.024
6,36,10,6.5,1.0,66,-0.036,-0.022
6,37,10,6.5,1.0,66,-0.032,-0.024
6,38,10,6.5,1.0,66,-0.032,-0.026
6,39,10,6.5,1.0,66,-0.032,-0.028
6,40,10,6.5,1.0,66,-0.036,-0.03
6,41,10,6.5,1.0,66,-0.032,-0.028
6,42,10,6.5,1.0,66,-0.04,-0.026
6,43,10,6.5,1.0,66,-0.044,-0.028
6,44,10,6.5,1.0,66,-0.048,-0.026
6,45,10,6.5,1.0,66,-0.048,-0.026
6,46,10,6.5,1.0,66,-0.048,-0.026
6,47,10,6.5,1.0,66,-0.048,-0.024
6,48,10,6.5,1.0,66,-0.052,-0.026
6,49,10,6.5,1.0,66,-0.052,-0.024
6,50,10,6.5,1.0,66,-0.052,-0.026
6,51,10,6.5,1.0,66,-0.052,-0.026
6,52,10,6.5,1.0,66,-0.06,-0.028
6,53,10,6.5,1.0,66,-0.064,-0.026
6,54,10,6.5,1.0,66,-0.064,-0.026
6,55,10,6.5,1.0,66,-0.064,-0.028
6,56,10,6.5,1.0,66,-0.056,-0.026
6,57,10,6.5,1.0,66,-0.056,-0.028
6,58,10,6.5,1.0,66,-0.056,-0.03
6,59,10,6.5,1.0,66,-0.056,-0.032
6,60,10,6.5,1.0,66,-0.06,-0.03
6,61,10,6.5,1.0,66,-0.064,-0.032
