run,step,side,T,J,seed,e_per_spin,m_per_spin
4,1,10,4.5,1.0,44,-0.076,-0.036
4,2,10,4.5,1.0,44,-0.076,-0.038
4,3,10,4.5,1.0,44,-0.076,-0.038
4,4,10,4.5,1.0,44,-0.08,-0.036
4,5,10,4.5,1.0,44,-0.08,-0.036
4,6,10,4.5,1.0,44,-0.08,-0.038
4,7,10,4.5,1.0,44,-0.088,-0.04
4,8,10,4.5,1.0,44,-0.088,-0.042
4,9,10,4.5,1.0,44,-0.084,-0.044
4,10,10,4.5,1.0,44,-0.088,-0.046
4,11,10,4.5,1.0,44,-0.08,-0.044
4,12,10,4.5,1.0,44,-0.084,-0.046
4,13,10,4.5,1.0,44,-0.088,-0.048
4,14,10,4.5,1.0,44,-0.08,-0.046
4,15,10,4.5,1.0,44,-0.088,-0.048
4,16,10,4.5,1.0,44,-0.096,-0.046
4,17,10,4.5,1.0,44,-0.1,-0.044
4,18,10,4.5,1.0,44,-0.1,-0.044
4,19,10,4.5,1.0,44,-0.1,-0.044
4,20,10,4.5,1.0,44,-0.1,-0.046
4,21,10,4.5,1.0,44,-0.1,-0.044
4,22,10,4.5,1.0,44,-0.1,-0.046
4,23,10,4.5,1.0,44,-0.096,-0.048
4,24,10,4.5,1.0,44,-0.1,-0.05
4,25,10,4.5,1.0,44,-0.104,-0.052
4,26,10,4.5,1.0,44,-0.104,-0.052
4,27,10,4.5,1.0,44,-0.1,-0.05
4,28,10,4.5,1.0,44,-0.112,-0.048
4,29,10,4.5,1.0,44,-0.112,-0.05
4,30,10,4.5,1.0,44,-0.116,-0.052
4,31,10,4.5,1.0,44,-0.116,-0.052
4,32,10,4.5,1.0,44,-0.116,-0.054
4,33,10,4.5,1.0,44,-0.124,-0.056
4,34,10,4.5,1.0,44,-0.128,-0.058
4,35,10,4.5,1.0,44,-0.136,-0.06
4,36,10,4.5,1.0,44,-0.14,-0.062
4,37,10,4.5,1.0,44,-0.144,-0.06
4,38,10,4.5,1.0,44,-0.156,-0.062
4,39,10,4.5,1.0,44,-0.152,-0.06
4,40,10,4.5,1.0,44,-0.152,-0.062
4,41,10,4.5,1.0,44,-0.148,-0.064
4,42,10,4.5,1.0,44,-0.144,-0.066
4,43,10,4.5,1.0,44,-0.152,-0.064
4,44,10,4.5,1.0,44,-0.156,-0.066
4,45,10,4.5,1.0,44,-0.164,-0.064
4,46,10,4.5,1.0,44,-0.164,-0.062
4,47,10,4.5,1.0,44,-0.172,-0.064
4,48,10,4.5,1.0,44,-0.172,-0.064
4,49,10,4.5,1.0,44,-0.176,-0.062
4,50,10,4.5,1.0,44,-0.172,-0.06
4,51,10,4.5,1.0,44,-0.172,-0.058
4,52,10,4.5,1.0,44,-0.168,-0.06
4,53,10,4.5,1.0,44,-0.172,-0.058
4,54,10,4.5,1.0,44,-0.168,-0.06
4,55,10,4.5,1.0,44,-0.168,-0.06
4,56,10,4.5,1.0,44,-0.164,-0.062
4,57,10,4.5,1.0,44,-0.16,-0.064
4,58,10,4.5,1.0,44,-0.16,-0.064
4,59,10,4.5,1.0,44,-0.156,-0.062
4,60,10,4.5,1.0,44,-0.156,-0.062
4,61,10,4.5,1.0,44,-0.156,-0.062
4,62,10,4.5,1.0,44,-0.156,-0.06
4,63,10,4.5,1.0,44,-0.156,-0.058
4,64,10,4.5,1.0,44,-0.164,-0.06
