run,step,side,T,J,seed,e_per_spin,m_per_spin
1,129,10,1.5,1.0,11,-0.144,0.006
1,130,10,1.5,1.0,11,-0.156,0.008
1,131,10,1.5,1.0,11,-0.16,0.006
1,132,10,1.5,1.0,11,-0.16,0.006
1,133,10,1.5,1.0,11,-0.16,0.006
1,134,10,1.5,1.0,11,-0.16,0.004
1,135,10,1.5,1.0,11,-0.16,0.004
1,136,10,1.5,1.0,11,-0.172,0.002
1,137,10,1.5,1.0,11,-0.172,0.002
1,138,10,1.5,1.0,11,-0.172,0.002
1,139,10,1.5,1.0,11,-0.176,0.0
1,140,10,1.5,1.0,11,-0.176,0.0
1,141,10,1.5,1.0,11,-0.18,0.002
1,142,10,1.5,1.0,11,-0.18,0.004
1,143,10,1.5,1.0,11,-0.18,0.004
1,144,10,1.5,1.0,11,-0.18,0.006
1,145,10,1.5,1.0,11,-0.18,0.006
1,146,10,1.5,1.0,11,-0.188,0.008
1,147,10,1.5,1.0,11,-0.188,0.006
1,148,10,1.5,1.0,11,-0.188,0.004
1,149,10,1.5,1.0,11,-0.192,0.006
1,150,10,1.5,1.0,11,-0.192,0.006
1,151,10,1.5,1.0,11,-0.192,0.006
1,152,10,1.5,1.0,11,-0.192,0.004
1,153,10,1.5,1.0,11,-0.192,0.004
1,154,10,1.5,1.0,11,-0.192,0.002
1,155,10,1.5,1.0,11,-0.196,0.0
1,156,10,1.5,1.0,11,-0.196,0.0
1,157,10,1.5,1.0,11,-0.196,0.002
1,158,10,1.5,1.0,11,-0.196,0.002
1,159,10,1.5,1.0,11,-0.196,0.002
1,160,10,1.5,1.0,11,-0.2,0.0
1,161,10,1.5,1.0,11,-0.2,0.002
1,162,10,1.5,1.0,11,-0.2,0.002
1,163,10,1.5,1.0,11,-0.204,0.0
1,164,10,1.5,1.0,11,-0.204,0.002
1,165,10,1.5,1.0,11,-0.204,0.002
1,166,10,1.5,1.0,11,-0.208,0.004
1,167,10,1.5,1.0,11,-0.216,0.006
1,168,10,1.5,1.0,11,-0.216,0.008
1,169,10,1.5,1.0,11,-0.22,0.006
1,170,10,1.5,1.0,11,-0.224,0.008
1,171,10,1.5,1.0,11,-0.224,0.006
1,172,10,1.5,1.0,11,-0.224,0.004
1,173,10,1.5,1.0,11,-0.224,0.002
1,174,10,1.5,1.0,11,-0.224,0.002
1,175,10,1.5,1.0,11,-0.224,0.002
1,176,10,1.5,1.0,11,-0.224,0.002
1,177,10,1.5,1.0,11,-0.232,0.0
1,178,10,1.5,1.0,11,-0.236,0.002
1,179,10,1.5,1.0,11,-0.236,0.0
1,180,10,1.5,1.0,11,-0.236,0.0
1,181,10,1.5,1.0,11,-0.236,0.0
1,182,10,1.5,1.0,11,-0.236,-0.002
1,183,10,1.5,1.0,11,-0.24,0.0
1,184,10,1.5,1.0,11,-0.24,0.0
1,185,10,1.5,1.0,11,-0.244,0.002
1,186,10,1.5,1.0,11,-0.248,0.004
1,187,10,1.5,1.0,11,-0.248,0.004
1,188,10,1.5,1.0,11,-0.248,0.004
1,189,10,1.5,1.0,11,-0.248,0.006
1,190,10,1.5,1.0,11,-0.248,0.004
1,191,10,1.5,1.0,11,-0.248,0.002
1,192,10,1.5,1.0,11,-0.248,0.002
1,193,10,1.5,1.0,11,-0.248,0.002
1,194,10,1.5,1.0,11,-0.248,0.002
1,195,10,1.5,1.0,11,-0.248,0.002
1,196,10,1.5,1.0,11,-0.248,0.002
1,197,10,1.5,1.0,11,-0.248,0.002
1,198,10,1.5,1.0,11,-0.248,0.0
1,199,10,1.5,1.0,11,-0.248,0.0
1,200,10,1.5,1.0,11,-0.248,-0.002
1,201,10,1.5,1.0,11,-0.248,0.0
1,202,10,1.5,1.0,11,-0.248,0.0
1,203,10,1.5,1.0,11,-0.256,0.002
1,204,10,1.5,1.0,11,-0.256,0.0
1,205,10,1.5,1.0,11,-0.256,-0.002
1,206,10,1.5,1.0,11,-0.256,-0.002
1,207,10,1.5,1.0,11,-0.256,-0.002
1,208,10,1.5,1.0,11,-0.256,-0.002
1,209,10,1.5,1.0,11,-0.256,0.0
1,210,10,1.5,1.0,11,-0.252,-0.002
1,211,10,1.5,1.0,11,-0.252,-0.002
