run,step,side,T,J,seed,e_per_spin,m_per_spin
2,1,10,2.5,1.0,22,0.08,-0.03
2,2,10,2.5,1.0,22,0.08,-0.032
2,3,10,2.5,1.0,22,0.084,-0.034
2,4,10,2.5,1.0,22,0.076,-0.032
2,5,10,2.5,1.0,22,0.076,-0.03
2,6,10,2.5,1.0,22,0.076,-0.03
2,7,10,2.5,1.0,22,0.076,-0.028
2,8,10,2.5,1.0,22,0.076,-0.026
2,9,10,2.5,1.0,22,0.076,-0.026
2,10,10,2.5,1.0,22,0.072,-0.028
2,11,10,2.5,1.0,22,0.072,-0.03
2,12,10,2.5,1.0,22,0.072,-0.028
2,13,10,2.5,1.0,22,0.068,-0.03
2,14,10,2.5,1.0,22,0.068,-0.028
2,15,10,2.5,1.0,22,0.068,-0.03
2,16,10,2.5,1.0,22,0.068,-0.03
2,17,10,2.5,1.0,22,0.056,-0.032
2,18,10,2.5,1.0,22,0.056,-0.032
2,19,10,2.5,1.0,22,0.056,-0.034
2,20,10,2.5,1.0,22,0.056,-0.034
2,21,10,2.5,1.0,22,0.056,-0.036
2,22,10,2.5,1.0,22,0.052,-0.034
2,23,10,2.5,1.0,22,0.052,-0.036
2,24,10,2.5,1.0,22,0.056,-0.038
2,25,10,2.5,1.0,22,0.056,-0.038
2,26,10,2.5,1.0,22,0.056,-0.036
2,27,10,2.5,1.0,22,0.052,-0.038
2,28,10,2.5,1.0,22,0.052,-0.036
2,29,10,2.5,1.0,22,0.048,-0.034
2,30,10,2.5,1.0,22,0.048,-0.036
2,31,10,2.5,1.0,22,0.048,-0.036
2,32,10,2.5,1.0,22,0.044,-0.038
2,33,10,2.5,1.0,22,0.044,-0.038
2,34,10,2.5,1.0,22,0.036,-0.036
2,35,10,2.5,1.0,22,0.036,-0.038
2,36,10,2.5,1.0,22,0.032,-0.036
2,37,10,2.5,1.0,22,0.024,-0.038
2,38,10,2.5,1.0,22,0.02,-0.04
2,39,10,2.5,1.0,22,0.02,-0.04
2,40,10,2.5,1.0,22,0.012,-0.038
2,41,10,2.5,1.0,22,0.008,-0.036
2,42,10,2.5,1.0,22,0.004,-0.034
2,43,10,2.5,1.0,22,0.004,-0.032
2,44,10,2.5,1.0,22,0.004,-0.032
2,45,10,2.5,1.0,22,-0.004,-0.034
2,46,10,2.5,1.0,22,-0.012,-0.032
2,47,10,2.5,1.0,22,-0.012,-0.03
2,48,10,2.5,1.0,22,-0.012,-0.032
2,49,10,2.5,1.0,22,-0.016,-0.03
2,50,10,2.5,1.0,22,-0.016,-0.032
2,51,10,2.5,1.0,22,-0.016,-0.032
2,52,10,2.5,1.0,22,-0.012,-0.03
2,53,10,2.5,1.0,22,-0.02,-0.028
2,54,10,2.5,1.0,22,-0.02,-0.028
2,55,10,2.5,1.0,22,-0.024,-0.03
2,56,10,2.5,1.0,22,-0.032,-0.032
2,57,10,2.5,1.0,22,-0.032,-0.032
2,58,10,2.5,1.0,22,-0.032,-0.032
2,59,10,2.5,1.0,22,-0.028,-0.03
2,60,10,2.5,1.0,22,-0.032,-0.032
2,61,10,2.5,1.0,22,-0.032,-0.032
2,62,10,2.5,1.0,22,-0.032,-0.032
2,63,10,2.5,1.0,22,-0.032,-0.03
2,64,10,2.5,1.0,22,-0.032,-0.03
2,65,10,2.5,1.0,22,-0.032,-0.03
2,66,10,2.5,1.0,22,-0.036,-0.028
2,67,10,2.5,1.0,22,-0.044,-0.03
2,68,10,2.5,1.0,22,-0.044,-0.03
2,69,10,2.5,1.0,22,-0.048,-0.032
2,70,10,2.5,1.0,22,-0.048,-0.034
2,71,10,2.5,1.0,22,-0.052,-0.032
2,72,10,2.5,1.0,22,-0.052,-0.032
2,73,10,2.5,1.0,22,-0.052,-0.032
2,74,10,2.5,1.0,22,-0.052,-0.032
2,75,10,2.5,1.0,22,-0.064,-0.03
2,76,10,2.5,1.0,22,-0.064,-0.03
2,77,10,2.5,1.0,22,-0.06,-0.032
2,78,10,2.5,1.0,22,-0.064,-0.03
2,79,10,2.5,1.0,22,-0.064,-0.028
2,80,10,2.5,1.0,22,-0.064,-0.028
2,81,10,2.5,1.0,22,-0.064,-0.026
2,82,10,2.5,1.0,22,-0.064,-0.026
