run,step,side,T,J,seed,e_per_spin,m_per_spin
5,1,10,5.5,1.0,55,-0.052,0.012
5,2,10,5.5,1.0,55,-0.044,0.01
5,3,10,5.5,1.0,55,-0.044,0.01
5,4,10,5.5,1.0,55,-0.044,0.012
5,5,10,5.5,1.0,55,-0.044,0.012
5,6,10,5.5,1.0,55,-0.04,0.01
5,7,10,5.5,1.0,55,-0.04,0.01
5,8,10,5.5,1.0,55,-0.044,0.012
5,9,10,5.5,1.0,55,-0.04,0.014
5,10,10,5.5,1.0,55,-0.04,0.014
5,11,10,5.5,1.0,55,-0.04,0.014
5,12,10,5.5,1.0,55,-0.04,0.014
5,13,10,5.5,1.0,55,-0.04,0.014
5,14,10,5.5,1.0,55,-0.036,0.012
5,15,10,5.5,1.0,55,-0.036,0.014
5,16,10,5.5,1.0,55,-0.036,0.012
5,17,10,5.5,1.0,55,-0.04,0.014
5,18,10,5.5,1.0,55,-0.04,0.014
5,19,10,5.5,1.0,55,-0.04,0.014
5,20,10,5.5,1.0,55,-0.04,0.012
5,21,10,5.5,1.0,55,-0.04,0.014
5,22,10,5.5,1.0,55,-0.044,0.012
5,23,10,5.5,1.0,55,-0.044,0.012
5,24,10,5.5,1.0,55,-0.044,0.012
5,25,10,5.5,1.0,55,-0.044,0.012
5,26,10,5.5,1.0,55,-0.044,0.014
5,27,10,5.5,1.0,55,-0.052,0.012
5,28,10,5.5,1.0,55,-0.06,0.01
5,29,10,5.5,1.0,55,-0.06,0.012
5,30,10,5.5,1.0,55,-0.06,0.012
5,31,10,5.5,1.0,55,-0.064,0.014
5,32,10,5.5,1.0,55,-0.064,0.014
5,33,10,5.5,1.0,55,-0.064,0.014
5,34,10,5.5,1.0,55,-0.064,0.014
5,35,10,5.5,1.0,55,-0.068,0.016
5,36,10,5.5,1.0,55,-0.068,0.016
5,37,10,5.5,1.0,55,-0.072,0.014
5,38,10,5.5,1.0,55,-0.072,0.014
5,39,10,5.5,1.0,55,-0.072,0.014
5,40,10,5.5,1.0,55,-0.08,0.016
5,41,10,5.5,1.0,55,-0.088,0.014
5,42,10,5.5,1.0,55,-0.1,0.016
5,43,10,5.5,1.0,55,-0.096,0.014
5,44,10,5.5,1.0,55,-0.1,0.012
5,45,10,5.5,1.0,55,-0.108,0.01
